sector_name,subsector_name,series_id,series_name,year,country_name,country_value,income_group_name,income_group_average,subregion_name,region_name,region_average
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2020,Albania,359.5,Upper Middle Income Country (World Bank Classification),3008.14622222222222222222,Balkans,Europe and Eurasia,791.858919047619047619048
Gender,Technology,1548,"Percentage of individuals using the internet, male",2021,Albania,80.3,Upper Middle Income Country (World Bank Classification),79.98333333333333,Balkans,Europe and Eurasia,88.15945945945946
"Democracy, Human Rights, and Governance",Women's Political Participation and Leadership,1548,"Percentage of individuals using the internet, male",2021,Albania,80.3,Upper Middle Income Country (World Bank Classification),79.98333333333333,Balkans,Europe and Eurasia,88.15945945945946
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2011,Albania,2813.85,Upper Middle Income Country (World Bank Classification),12099.6989526875,Balkans,Europe and Eurasia,50565.037560883720930232558139535
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2012,Albania,2432.304,Upper Middle Income Country (World Bank Classification),12647.5100485,Balkans,Europe and Eurasia,50471.540026139534883720930232558
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2013,Albania,2282.507,Upper Middle Income Country (World Bank Classification),13283.263792653061224489795918367,Balkans,Europe and Eurasia,54789.223621093023255813953488372
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2014,Albania,2492.333,Upper Middle Income Country (World Bank Classification),13722.165765428571428571428571429,Balkans,Europe and Eurasia,58767.138027302325581395348837209
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2015,Albania,2248.731,Upper Middle Income Country (World Bank Classification),13063.086493897959183673469387755,Balkans,Europe and Eurasia,54149.96150423255813953488372093
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2016,Albania,2650.668,Upper Middle Income Country (World Bank Classification),12922.791665122448979591836734694,Balkans,Europe and Eurasia,55061.139639046511627906976744186
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2017,Albania,3242.551,Upper Middle Income Country (World Bank Classification),14188.243746612244897959183673469,Balkans,Europe and Eurasia,60531.219315558139534883720930233
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2018,Albania,3621.04,Upper Middle Income Country (World Bank Classification),16959.224159195652173913043478261,Balkans,Europe and Eurasia,67754.835667813953488372093023256
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2019,Albania,3807.654,Upper Middle Income Country (World Bank Classification),17476.184403826086956521739130435,Balkans,Europe and Eurasia,69350.663814627906976744186046512
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2021,Albania,4093.925,Upper Middle Income Country (World Bank Classification),17172.180624136363636363636363636,Balkans,Europe and Eurasia,70570.940852441860465116279069767
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2020,Albania,2552.262,Upper Middle Income Country (World Bank Classification),13057.855877111111111111111111111,Balkans,Europe and Eurasia,59610.028392883720930232558139535
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2011,Albania,70.003304,Upper Middle Income Country (World Bank Classification),59.670625055555555555555555555556,Balkans,Europe and Eurasia,81.432286026315789473684210526316
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2012,Albania,77.326881,Upper Middle Income Country (World Bank Classification),61.845575657142857142857142857143,Balkans,Europe and Eurasia,84.665148236842105263157894736842
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2014,Albania,83.350052,Upper Middle Income Country (World Bank Classification),65.672274621621621621621621621622,Balkans,Europe and Eurasia,85.06825935
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2015,Albania,86.418251,Upper Middle Income Country (World Bank Classification),64.749519842105263157894736842105,Balkans,Europe and Eurasia,83.281084097560975609756097560976
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2016,Albania,87.682266,Upper Middle Income Country (World Bank Classification),65.4712397297297297297297,Balkans,Europe and Eurasia,85.01399065
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2018,Albania,80.498734,Upper Middle Income Country (World Bank Classification),67.9955935897435897435897,Balkans,Europe and Eurasia,85.793574261904761904761904761905
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2019,Albania,75.75499,Upper Middle Income Country (World Bank Classification),68.933752512820512820512820512821,Balkans,Europe and Eurasia,87.0598175
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2021,Albania,69.2342,Upper Middle Income Country (World Bank Classification),65.694896607142857142857142857143,Balkans,Europe and Eurasia,61.692527
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2017,Albania,83.820084,Upper Middle Income Country (World Bank Classification),67.297540388888888888888888888889,Balkans,Europe and Eurasia,84.2248673170731707317073
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2013,Albania,81.558342,Upper Middle Income Country (World Bank Classification),63.072230542857142857142857142857,Balkans,Europe and Eurasia,84.533236564102564102564102564103
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2020,Albania,75.140182,Upper Middle Income Country (World Bank Classification),67.860071048780487804878048780488,Balkans,Europe and Eurasia,88.09894212195121951219512195122
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2009,Albania,4.1894,Upper Middle Income Country (World Bank Classification),3.966478125,Balkans,Europe and Eurasia,7.78555581395348837209302
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2010,Albania,4.0183,Upper Middle Income Country (World Bank Classification),4.44496071428571428571429,Balkans,Europe and Eurasia,7.81994651162790697674419
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2011,Albania,4.1761,Upper Middle Income Country (World Bank Classification),4.18338333333333333333333,Balkans,Europe and Eurasia,7.87129767441860465116279
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2012,Albania,4.4192,Upper Middle Income Country (World Bank Classification),4.11748148148148148148148,Balkans,Europe and Eurasia,7.96424761904761904761905
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2013,Albania,4.2892,Upper Middle Income Country (World Bank Classification),4.00153055555555555555556,Balkans,Europe and Eurasia,7.97021395348837209302326
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2016,Albania,3.6495,Upper Middle Income Country (World Bank Classification),3.39073870967741935483871,Balkans,Europe and Eurasia,8.66864857142857142857143
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2019,Albania,5.088,Upper Middle Income Country (World Bank Classification),4.15025555555555555555556,Balkans,Europe and Eurasia,8.5878
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2010,Albania,1.2347,Upper Middle Income Country (World Bank Classification),2.14005806451612903225806,Balkans,Europe and Eurasia,3.22811162790697674418605
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2011,Albania,1.2217,Upper Middle Income Country (World Bank Classification),2.48369642857142857142857,Balkans,Europe and Eurasia,3.27338409090909090909091
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2012,Albania,1.2683,Upper Middle Income Country (World Bank Classification),2.31350333333333333333333,Balkans,Europe and Eurasia,3.30672272727272727272727
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2013,Albania,1.2773,Upper Middle Income Country (World Bank Classification),2.63447857142857142857143,Balkans,Europe and Eurasia,3.35196590909090909090909
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2016,Albania,1.2164,Upper Middle Income Country (World Bank Classification),2.369884615384615,Balkans,Europe and Eurasia,3.62198055555555555555556
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2019,Albania,1.6471,Upper Middle Income Country (World Bank Classification),2.64202857142857142857143,Balkans,Europe and Eurasia,3.87046129032258064516129
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2020,Albania,1.8754,Upper Middle Income Country (World Bank Classification),2.32281052631578947368421,Balkans,Europe and Eurasia,3.85860666666666666666667
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2011,Albania,1.671,Upper Middle Income Country (World Bank Classification),2.40098,Balkans,Europe and Eurasia,1.602133333333333
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2012,Albania,1.692,Upper Middle Income Country (World Bank Classification),2.390196078431373,Balkans,Europe and Eurasia,1.619933333333333
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2013,Albania,1.697,Upper Middle Income Country (World Bank Classification),2.36714,Balkans,Europe and Eurasia,1.600288888888889
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2014,Albania,1.674,Upper Middle Income Country (World Bank Classification),2.35204,Balkans,Europe and Eurasia,1.619466666666667
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2015,Albania,1.613,Upper Middle Income Country (World Bank Classification),2.31682352941176470588235,Balkans,Europe and Eurasia,1.616088888888889
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2016,Albania,1.551,Upper Middle Income Country (World Bank Classification),2.28344,Balkans,Europe and Eurasia,1.624111111111111
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2017,Albania,1.491,Upper Middle Income Country (World Bank Classification),2.23864,Balkans,Europe and Eurasia,1.589977777777778
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2018,Albania,1.44,Upper Middle Income Country (World Bank Classification),2.20298,Balkans,Europe and Eurasia,1.572133333333333
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2019,Albania,1.414,Upper Middle Income Country (World Bank Classification),2.1638,Balkans,Europe and Eurasia,1.550155555555556
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2020,Albania,1.4,Upper Middle Income Country (World Bank Classification),2.10525490196078431372549,Balkans,Europe and Eurasia,1.528555555555556
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2021,Albania,1.39,Upper Middle Income Country (World Bank Classification),2.11358,Balkans,Europe and Eurasia,1.551777777777778
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2010,Albania,11.485734,Upper Middle Income Country (World Bank Classification),16.0800025263157894736842,Balkans,Europe and Eurasia,11.7827009268292682926829
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2011,Albania,12.84,Upper Middle Income Country (World Bank Classification),16.1478906756756756756757,Balkans,Europe and Eurasia,11.956993951219512195122
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2012,Albania,13.61,Upper Middle Income Country (World Bank Classification),15.8279154358974358974359,Balkans,Europe and Eurasia,11.7968075365853658536585
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2013,Albania,12.12391,Upper Middle Income Country (World Bank Classification),15.8888948947368421052632,Balkans,Europe and Eurasia,12.039509375
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2014,Albania,12.74,Upper Middle Income Country (World Bank Classification),15.797048358974358974359,Balkans,Europe and Eurasia,11.8629725609756097560976
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2015,Albania,11.17755,Upper Middle Income Country (World Bank Classification),15.8611177857142857142857,Balkans,Europe and Eurasia,11.7911002682926829268293
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2016,Albania,13.59696,Upper Middle Income Country (World Bank Classification),16.1448579523809523809524,Balkans,Europe and Eurasia,11.970284024390243902439
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2017,Albania,12.3908,Upper Middle Income Country (World Bank Classification),16.1641696341463414634146,Balkans,Europe and Eurasia,11.952978048780487804878
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2018,Albania,10.970696,Upper Middle Income Country (World Bank Classification),15.540166380952380952381,Balkans,Europe and Eurasia,11.7975014634146341463415
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2019,Albania,13.43,Upper Middle Income Country (World Bank Classification),15.7915846666666666666667,Balkans,Europe and Eurasia,11.9716243170731707317073
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2020,Albania,12.07,Upper Middle Income Country (World Bank Classification),15.234276,Balkans,Europe and Eurasia,11.1031228461538461538462
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2011,Albania,1.00126,Upper Middle Income Country (World Bank Classification),1.00318695652173913043478,Balkans,Europe and Eurasia,0.999328947368421052631579
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2012,Albania,0.99642,Upper Middle Income Country (World Bank Classification),0.995388095238095238095238,Balkans,Europe and Eurasia,0.99756125
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2018,Albania,1.00582,Upper Middle Income Country (World Bank Classification),1.00401318181818181818182,Balkans,Europe and Eurasia,1.000995
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2021,Albania,1.00761,Upper Middle Income Country (World Bank Classification),1.00426833333333333333333,Balkans,Europe and Eurasia,1.00084125
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2010,Albania,5.8,Upper Middle Income Country (World Bank Classification),7.3675,Balkans,Europe and Eurasia,2.827906976744186
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2011,Albania,5.4,Upper Middle Income Country (World Bank Classification),7.0175,Balkans,Europe and Eurasia,2.86046511627907
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2012,Albania,5.1,Upper Middle Income Country (World Bank Classification),6.82,Balkans,Europe and Eurasia,2.830232558139535
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2013,Albania,5.0,Upper Middle Income Country (World Bank Classification),6.6675,Balkans,Europe and Eurasia,2.825581395348837
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2014,Albania,5.0,Upper Middle Income Country (World Bank Classification),6.58,Balkans,Europe and Eurasia,2.837209302325581
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2015,Albania,4.9,Upper Middle Income Country (World Bank Classification),6.6125,Balkans,Europe and Eurasia,2.846511627906977
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2016,Albania,4.7,Upper Middle Income Country (World Bank Classification),6.615,Balkans,Europe and Eurasia,2.837209302325581
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2017,Albania,4.7,Upper Middle Income Country (World Bank Classification),6.6225,Balkans,Europe and Eurasia,2.786046511627907
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2018,Albania,4.6,Upper Middle Income Country (World Bank Classification),6.56,Balkans,Europe and Eurasia,2.751162790697674
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2019,Albania,4.3,Upper Middle Income Country (World Bank Classification),6.695,Balkans,Europe and Eurasia,2.762790697674419
Health,Nutrition,5464,Prevalence of undernourishment (percentage of population),2020,Albania,3.9,Upper Middle Income Country (World Bank Classification),6.815,Balkans,Europe and Eurasia,2.76046511627907
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2010,Albania,48.73477,Upper Middle Income Country (World Bank Classification),55.5829804545454545454545,Balkans,Europe and Eurasia,24.397885046511627906976744186047
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2011,Albania,50.96517,Upper Middle Income Country (World Bank Classification),55.801126409090909090909090909091,Balkans,Europe and Eurasia,24.851544674418604651162790697674
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2012,Albania,53.293488,Upper Middle Income Country (World Bank Classification),57.182703888888888888888888888889,Balkans,Europe and Eurasia,25.800339511627906976744186046512
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2013,Albania,55.726315,Upper Middle Income Country (World Bank Classification),56.0992812,Balkans,Europe and Eurasia,25.271607813953488372093023255814
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2014,Albania,58.270852,Upper Middle Income Country (World Bank Classification),56.1642288,Balkans,Europe and Eurasia,25.360276
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2015,Albania,69.565217,Upper Middle Income Country (World Bank Classification),56.7882791111111111111111,Balkans,Europe and Eurasia,26.426023790697674418604651162791
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2016,Albania,70.264317,Upper Middle Income Country (World Bank Classification),56.370975822222222222222222222222,Balkans,Europe and Eurasia,25.847915790697674418604651162791
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2017,Albania,64.010989,Upper Middle Income Country (World Bank Classification),56.676469466666666666666666666667,Balkans,Europe and Eurasia,26.544964302325581395348837209302
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2018,Albania,68.162839,Upper Middle Income Country (World Bank Classification),55.952241088888888888888888888889,Balkans,Europe and Eurasia,25.905326255813953488372093023256
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2019,Albania,61.184792,Upper Middle Income Country (World Bank Classification),55.021144777777777777777777777778,Balkans,Europe and Eurasia,26.021114162790697674418604651163
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2020,Albania,69.338422,Upper Middle Income Country (World Bank Classification),55.793676844444444444444444444444,Balkans,Europe and Eurasia,26.698956465116279069767441860465
Environment and Global Climate Change,Biodiversity,5513,"Fish species, threatened",2018,Albania,44.0,Upper Middle Income Country (World Bank Classification),44.2,Balkans,Europe and Eurasia,26.40909090909091
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2004,Albania,12.219451,Upper Middle Income Country (World Bank Classification),4.971807325,Balkans,Europe and Eurasia,3.66040370454545454545455
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2005,Albania,8.900524,Upper Middle Income Country (World Bank Classification),4.58364443902439024390244,Balkans,Europe and Eurasia,3.61212944444444444444444
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2006,Albania,13.984169,Upper Middle Income Country (World Bank Classification),4.68285351219512195121951,Balkans,Europe and Eurasia,3.39494948888888888888889
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2007,Albania,11.640212,Upper Middle Income Country (World Bank Classification),4.77017395121951219512195,Balkans,Europe and Eurasia,3.34736473333333333333333
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2008,Albania,8.625337,Upper Middle Income Country (World Bank Classification),4.61165146341463414634146,Balkans,Europe and Eurasia,3.36919842222222222222222
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2009,Albania,5.039788,Upper Middle Income Country (World Bank Classification),4.46669117073170731707317,Balkans,Europe and Eurasia,3.18576488888888888888889
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2010,Albania,6.10687,Upper Middle Income Country (World Bank Classification),4.54834153658536585365854,Balkans,Europe and Eurasia,3.36714253333333333333333
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2011,Albania,6.038647,Upper Middle Income Country (World Bank Classification),4.33555329268292682926829,Balkans,Europe and Eurasia,3.38302066666666666666667
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2012,Albania,6.896552,Upper Middle Income Country (World Bank Classification),4.51602912195121951219512,Balkans,Europe and Eurasia,3.33466913333333333333333
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2013,Albania,6.593407,Upper Middle Income Country (World Bank Classification),4.14286775609756097560976,Balkans,Europe and Eurasia,3.31368373333333333333333
Environment and Global Climate Change,Emissions,5520,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (percentage of total fuel combustion)",2014,Albania,6.553398,Upper Middle Income Country (World Bank Classification),3.85719478048780487804878,Balkans,Europe and Eurasia,2.94813071111111111111111
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2011,Albania,4750.7,Upper Middle Income Country (World Bank Classification),3009.42727272727272727273,Balkans,Europe and Eurasia,4573.61860465116279069767
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2012,Albania,4883.8,Upper Middle Income Country (World Bank Classification),2940.575,Balkans,Europe and Eurasia,4331.45581395348837209302
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2013,Albania,4949.8,Upper Middle Income Country (World Bank Classification),3116.02954545454545454545,Balkans,Europe and Eurasia,4630.19069767441860465116
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2014,Albania,4892.6,Upper Middle Income Country (World Bank Classification),3245.89545454545454545455,Balkans,Europe and Eurasia,4994.66046511627906976744
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2015,Albania,4873.8,Upper Middle Income Country (World Bank Classification),3179.92045454545454545455,Balkans,Europe and Eurasia,4913.1
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2016,Albania,4716.4,Upper Middle Income Country (World Bank Classification),3322.77272727272727272727,Balkans,Europe and Eurasia,4793.04772727272727272727
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2017,Albania,4813.0,Upper Middle Income Country (World Bank Classification),3335.03409090909090909091,Balkans,Europe and Eurasia,4848.36363636363636363636
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2018,Albania,4840.5,Upper Middle Income Country (World Bank Classification),3439.84545454545454545455,Balkans,Europe and Eurasia,4637.72325581395348837209
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2019,Albania,5038.2,Upper Middle Income Country (World Bank Classification),3499.75909090909090909091,Balkans,Europe and Eurasia,5151.51860465116279069767
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2020,Albania,5209.2,Upper Middle Income Country (World Bank Classification),3564.225,Balkans,Europe and Eurasia,5095.12325581395348837209
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2021,Albania,5144.7,Upper Middle Income Country (World Bank Classification),3606.95909090909090909091,Balkans,Europe and Eurasia,5006.35813953488372093023
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2010,Albania,7820.7,Upper Middle Income Country (World Bank Classification),416465.79682,Balkans,Europe and Eurasia,236226.24945454545454545454545455
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2011,Albania,7834.935,Upper Middle Income Country (World Bank Classification),416148.7655,Balkans,Europe and Eurasia,236336.04581818181818181818181818
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2012,Albania,7849.17,Upper Middle Income Country (World Bank Classification),415831.73414,Balkans,Europe and Eurasia,236445.84215909090909090909090909
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2013,Albania,7863.405,Upper Middle Income Country (World Bank Classification),415514.7028,Balkans,Europe and Eurasia,236555.63852272727272727272727273
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2014,Albania,7877.64,Upper Middle Income Country (World Bank Classification),415197.67148,Balkans,Europe and Eurasia,236665.43488636363636363636363636
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2015,Albania,7891.875,Upper Middle Income Country (World Bank Classification),414880.64014,Balkans,Europe and Eurasia,236775.23125
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2016,Albania,7891.8,Upper Middle Income Country (World Bank Classification),414831.41044,Balkans,Europe and Eurasia,236896.93077272727272727272727273
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2017,Albania,7889.025,Upper Middle Income Country (World Bank Classification),414338.88946,Balkans,Europe and Eurasia,237030.58765909090909090909090909
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2018,Albania,7889.0,Upper Middle Income Country (World Bank Classification),414175.70724,Balkans,Europe and Eurasia,237119.80568181818181818181818182
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2019,Albania,7889.0,Upper Middle Income Country (World Bank Classification),413966.798,Balkans,Europe and Eurasia,237208.797727272727272727
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2020,Albania,7889.0,Upper Middle Income Country (World Bank Classification),413773.134,Balkans,Europe and Eurasia,237297.384090909090909091
Environment and Global Climate Change,Energy resources,5554,Electricity production from natural gas sources (percentage of total),2005,Albania,0.0,Upper Middle Income Country (World Bank Classification),21.879897951219512195122,Balkans,Europe and Eurasia,22.316579644444444444444444444444
